launch_flop,capture_flop,slack
_40894_,_50236_,2.821357
_40894_,_50152_,3.713563
_40894_,_50839_,3.724069
_40894_,_50401_,3.774460
_40894_,_50097_,3.782145
_40894_,_50845_,3.845314
_40894_,_50091_,3.847133
_40894_,_50146_,3.847133
_40894_,_50117_,3.863258
_40894_,_50111_,3.864696
_40894_,_50090_,3.871516
_40894_,_50142_,3.883485
_40894_,_50835_,3.884859
_40894_,_50107_,3.902438
_40894_,_50143_,3.911525
_40894_,_50088_,3.911573
_40894_,_50836_,3.911581
_40894_,_50089_,3.922379
_40894_,_50084_,3.923869
_40894_,_50108_,3.929147
_40894_,_50843_,3.931044
_40894_,_50095_,3.932374
_40894_,_50150_,3.932372
_40894_,_50840_,3.934393
_40894_,_50147_,3.934420
_40894_,_50092_,3.934431
_40894_,_50838_,3.934513
_40894_,_50145_,3.934531
_40894_,_50115_,3.950014
_40894_,_44844_,3.951065
_40894_,_50110_,3.952181
_40894_,_50112_,3.952499
_40894_,_44838_,3.953135
_40894_,_48207_,3.973091
_40894_,_50144_,3.982738
_40894_,_50837_,3.984114
_40894_,_44834_,3.990807
_40894_,_50087_,3.992183
_40894_,_50149_,3.992568
_40894_,_50094_,3.992574
_40894_,_50842_,3.993929
_40894_,_50109_,4.001704
_40894_,_50104_,4.004530
_40894_,_50114_,4.011531
_40894_,_50086_,4.016943
_40894_,_44835_,4.017493
_40894_,_50141_,4.018297
_40894_,_50841_,4.023781
_40894_,_50093_,4.023788
_40894_,_50148_,4.025147
_40894_,_50153_,4.027078
_40894_,_50846_,4.027098
_40894_,_50098_,4.027130
_40894_,_50106_,4.035998
_40894_,_44842_,4.038356
_40894_,_44839_,4.040090
_40894_,_44837_,4.040483
_40894_,_50113_,4.043224
_40894_,_50118_,4.045239
_40894_,_44836_,4.064583
_40894_,_44831_,4.068677
_40894_,_50096_,4.094003
_40894_,_50844_,4.094018
_40894_,_50151_,4.095377
_40894_,_50139_,4.095522
_40894_,_44841_,4.099901
_40894_,_50074_,4.100552
_40894_,_50834_,4.106521
_40894_,_50847_,4.111772
_40894_,_50116_,4.113497
_40894_,_50129_,4.113520
_40894_,_44833_,4.124172
_40894_,_44840_,4.130819
_40894_,_44845_,4.132755
_40894_,_50069_,4.138679
_40894_,_50085_,4.145738
_40894_,_50140_,4.147067
_40894_,_50105_,4.164804
_40894_,_50099_,4.173701
_40894_,_50154_,4.173702
_40894_,_50119_,4.191781
_40894_,_44843_,4.201014
_40894_,_44832_,4.252982
_40894_,_44821_,4.265740
_40894_,_50138_,4.271451
_40894_,_50076_,4.274037
_40894_,_44846_,4.279371
_40894_,_50130_,4.287599
_40894_,_50125_,4.295067
_40894_,_50070_,4.295076
_40894_,_50160_,4.318178
_40894_,_50131_,4.327106
_40894_,_44823_,4.333128
_40894_,_50066_,4.334743
_40894_,_44830_,4.336810
_40894_,_50077_,4.340270
_40894_,_50083_,4.365563
_40894_,_50132_,4.375164
_40894_,_44824_,4.385013
_40894_,_44816_,4.388696
_40894_,_50065_,4.401208
_40894_,_44817_,4.401298
_40894_,_44826_,4.406763
_40894_,_50134_,4.409423
_40894_,_50079_,4.409431
_40894_,_50100_,4.414604
_40894_,_50162_,4.414633
_40894_,_50061_,4.415452
_40894_,_50157_,4.418406
_40894_,_50072_,4.419685
_40894_,_50133_,4.422341
_40894_,_50101_,4.432671
_40894_,_50163_,4.432700
_40894_,_50161_,4.435061
_40894_,_50137_,4.453578
_40894_,_44815_,4.453851
_40894_,_50080_,4.454488
_40894_,_50135_,4.455764
_40894_,_44825_,4.459664
_40894_,_50126_,4.475445
_40894_,_50060_,4.480600
_40894_,_50156_,4.484869
_40894_,_50128_,4.490078
_40894_,_50071_,4.491196
_40894_,_50078_,4.492540
_40894_,_44827_,4.493221
_40894_,_50136_,4.504103
_40894_,_44828_,4.505188
_40894_,_50081_,4.505424
_40894_,_50075_,4.516824
_40894_,_50082_,4.523882
_40894_,_44818_,4.525080
_40894_,_50127_,4.535237
_40894_,_44829_,4.542272
_40894_,_44822_,4.566417
_40894_,_44819_,4.584953
_40894_,_50073_,4.635818
_40894_,_44820_,4.669796
_50312_,_40934_,5.532913
_50312_,_40935_,5.532913
_50312_,_40936_,5.532913
_50312_,_40937_,5.532913
_50312_,_40938_,5.532913
_50312_,_40939_,5.532913
_50312_,_40940_,5.532913
_50312_,_40941_,5.532913
